Date;Price;Open;High;Low;Vol.;Change %
Nov 02, 2018;2377.95;2364.36;2385.95;2363.64;-;0.79%
Nov 01, 2018;2359.33;2352.94;2366.37;2333.09;-;0.28%
Oct 31, 2018;2352.71;2306.18;2352.71;2306.18;-;2.29%
Oct 30, 2018;2299.98;2311.54;2316.89;2283.13;-;-0.74%
Oct 29, 2018;2317.06;2290.53;2321.77;2287.05;-;1.04%
Oct 26, 2018;2293.22;2328.82;2328.82;2275.58;-;-1.65%
Oct 25, 2018;2331.59;2323.03;2336.68;2307.06;-;-0.21%
Oct 24, 2018;2336.49;2311.28;2348.87;2307.96;-;1.34%
Oct 23, 2018;2305.58;2302.84;2321.46;2289.23;-;-0.13%
Oct 22, 2018;2308.56;2347.29;2361.00;2306.26;-;-1.55%
Oct 19, 2018;2344.79;2381.06;2381.83;2342.05;-;-1.42%
Oct 18, 2018;2378.62;2408.97;2411.22;2377.37;-;-1.36%
Oct 17, 2018;2411.42;2422.45;2433.50;2400.53;-;-0.24%
Oct 16, 2018;2417.26;2387.35;2418.65;2377.81;-;1.18%
Oct 15, 2018;2389.05;2405.53;2414.16;2374.80;-;-0.58%
Oct 12, 2018;2403.02;2371.68;2407.40;2371.68;-;1.54%
Oct 11, 2018;2366.47;2386.03;2388.63;2351.68;-;-2.12%
Oct 10, 2018;2417.69;2445.78;2454.28;2411.06;-;-1.07%
Oct 09, 2018;2443.83;2459.63;2478.87;2443.83;-;-0.43%
Oct 08, 2018;2454.28;2449.95;2466.17;2436.49;-;0.14%
Oct 05, 2018;2450.90;2458.28;2466.31;2436.98;-;-0.57%
Oct 04, 2018;2465.03;2492.54;2498.07;2459.02;-;-1.16%
Oct 03, 2018;2493.91;2451.45;2501.78;2451.45;-;1.80%
Oct 02, 2018;2449.70;2475.65;2480.19;2445.51;-;-0.91%
Oct 01, 2018;2472.22;2481.45;2493.82;2461.77;-;-0.13%
Sep 28, 2018;2475.36;2467.95;2476.86;2446.53;-;0.03%
Sep 27, 2018;2474.57;2423.75;2474.57;2423.14;-;1.95%
Sep 26, 2018;2427.29;2445.35;2449.42;2421.45;-;-0.69%
Sep 25, 2018;2444.22;2432.76;2444.65;2420.30;-;0.58%
Sep 24, 2018;2430.01;2426.41;2432.64;2417.45;-;0.13%
Sep 21, 2018;2426.80;2401.35;2426.80;2401.00;-;1.08%
Sep 20, 2018;2400.89;2405.36;2434.94;2400.89;-;-0.15%
Sep 19, 2018;2404.42;2405.31;2416.53;2396.18;-;0.08%
Sep 18, 2018;2402.58;2374.09;2402.58;2372.00;-;1.21%
Sep 17, 2018;2373.75;2362.24;2373.76;2350.09;-;0.57%
